case,V6_E_wait,V6_E_memory_new,V6_E_finish,selected_skeleton,selected_E_wait,selected_E_memory_new,selected_E_finish,E_wait_delta,E_memory_delta,E_finish_delta,runtime,case_profile,hard_job_count,protected_job_count,window_size,candidate_source
case037.in,195477.0,4637280.0,10839.0,v6_safe,195477.0,4637280.0,10839.0,0.0,0.0,0.0,0.114956,balanced,0,0,0,v6_safe
case038.in,0.0,2474150.0,12491.0,window_tail_hotspot,0.0,2450060.0,12491.0,0.0,-24090.0,0.0,0.126160,balanced,0,0,57,window_repacking
case039.in,0.0,3438250.0,12472.0,reservation_top3_strict,0.0,3376520.0,12472.0,0.0,-61730.0,0.0,0.013778,balanced,0,3,0,reservation_profile
case040.in,559937.0,6090450.0,10995.0,v6_safe,559937.0,6090450.0,10995.0,0.0,0.0,0.0,0.183845,memory_dominated,0,0,0,v6_safe
case041.in,0.0,2128770.0,12483.0,v6_safe,0.0,2128770.0,12483.0,0.0,0.0,0.0,0.134030,balanced,0,0,0,v6_safe
case042.in,0.0,2770100.0,12512.0,window_tail_hotspot,0.0,2690160.0,12512.0,0.0,-79940.0,0.0,0.117121,balanced,0,0,51,window_repacking
case043.in,487561.0,7068940.0,10962.0,v6_safe,487561.0,7068940.0,10962.0,0.0,0.0,0.0,0.202372,balanced,0,0,0,v6_safe
case044.in,0.0,2776710.0,12494.0,v6_safe,0.0,2776710.0,12494.0,0.0,0.0,0.0,0.167998,balanced,0,0,0,v6_safe
case045.in,0.0,4547000.0,12517.0,reservation_top3_strict,0.0,4449670.0,12517.0,0.0,-97330.0,0.0,0.019522,balanced,0,3,0,reservation_profile
case046.in,933416.0,8803470.0,11416.0,v6_safe,933416.0,8803470.0,11416.0,0.0,0.0,0.0,0.299504,memory_dominated,0,0,0,v6_safe
case047.in,0.0,2139800.0,12477.0,window_tail_hotspot,0.0,2131980.0,12477.0,0.0,-7820.0,0.0,0.180742,memory_dominated,0,0,61,window_repacking
case048.in,0.0,4132610.0,12389.0,window_tail_hotspot,0.0,4104950.0,12389.0,0.0,-27660.0,0.0,0.162611,balanced,0,0,71,window_repacking
case049.in,1016920.0,10770400.0,11554.0,reservation_top10_slack,1023250.0,10144800.0,11717.0,6330.0,-625600.0,163.0,0.018037,balanced,0,10,0,reservation_profile
case050.in,0.0,2331870.0,12414.0,window_tail_hotspot,0.0,2321730.0,12414.0,0.0,-10140.0,0.0,0.184368,balanced,0,0,72,window_repacking
case051.in,0.0,3653330.0,12582.0,v6_safe,0.0,3653330.0,12582.0,0.0,0.0,0.0,0.189017,balanced,0,0,0,v6_safe
case052.in,816117.0,7870180.0,11436.0,v6_safe,816117.0,7870180.0,11436.0,0.0,0.0,0.0,0.316721,balanced,0,0,0,v6_safe
case053.in,0.0,3217590.0,12472.0,window_tail_hotspot,0.0,3200040.0,12472.0,0.0,-17550.0,0.0,0.218756,balanced,0,0,80,window_repacking
case054.in,0.0,3167310.0,12635.0,window_tail_hotspot,0.0,3153280.0,12635.0,0.0,-14030.0,0.0,0.214907,balanced,0,0,79,window_repacking
