case,profile,selected_candidate,E_wait,E_memory_new,E_finish,runtime,cheap_candidate_count,repair_candidate_count,guard_triggered,oracle_best_leaderboard_proxy,oracle_best_minmax,oracle_best_rank,selector_gap
case022.in,balanced,v6_seed_12,22421.0,727574.0,10569.0,0.037009,50,3,0,v6_seed_12,v6_seed_12,v6_seed_12,0.0
case023.in,memory_dominated,v6_seed_12,0.0,476776.0,12258.0,0.037191,50,3,0,v6_seed_12,v6_seed_12,v6_seed_12,0.0
case024.in,memory_dominated,v6_seed_42,492.0,1503090.0,12459.0,0.057640,50,3,0,v6_seed_42,v6_seed_18,v6_seed_18,0.0
case025.in,memory_dominated,v5_heavy,55406.0,1227820.0,10775.0,0.032949,50,3,0,v5_heavy,v6_seed_47,memory_r2_p3_b12,0.0
case026.in,balanced,v6_seed_36,0.0,913799.0,12346.0,0.051786,50,3,0,v6_seed_36,v6_seed_36,v6_seed_36,0.0
case027.in,balanced,v6_seed_43,0.0,1233710.0,12377.0,0.058783,50,3,0,v6_seed_43,v6_seed_43,v6_seed_43,0.0
case028.in,memory_dominated,v6_seed_32,100504.0,1909290.0,10776.0,0.063577,50,3,0,v6_seed_32,v6_seed_32,v6_seed_32,0.0
case029.in,balanced,v6_seed_48,0.0,1140330.0,12438.0,0.079818,50,3,0,v6_seed_48,v6_seed_48,v6_seed_48,0.0
case030.in,balanced,v6_seed_19,0.0,2611160.0,12400.0,0.075051,50,3,0,v6_seed_19,v6_seed_23,v6_seed_19,0.0
case031.in,balanced,v6_seed_12,107562.0,3698540.0,10934.0,0.070577,50,3,0,v6_seed_12,v6_seed_22,v6_seed_12,0.0
case032.in,balanced,combo_r2_p3_b12,0.0,1828650.0,12088.0,0.075183,50,3,0,combo_r2_p3_b12,combo_r2_p3_b12,combo_r2_p3_b12,0.0
case033.in,memory_dominated,v6_seed_28,0.0,1928920.0,12464.0,0.090614,50,3,0,v6_seed_28,v6_seed_28,v6_seed_28,0.0
case034.in,memory_dominated,v6_seed_15,438746.0,5396660.0,11316.0,0.169236,50,3,0,v6_seed_15,v6_seed_15,v6_seed_15,0.0
case035.in,balanced,v5_heavy,0.0,1979550.0,12518.0,0.113509,50,3,0,v5_heavy,v5_heavy,v5_heavy,0.0
case036.in,balanced,v6_seed_7,2165.0,4191860.0,12392.0,0.101381,50,3,0,v6_seed_7,v6_seed_27,v6_seed_27,0.0
case037.in,balanced,v6_seed_8,195477.0,4637280.0,10839.0,0.114956,50,3,0,v6_seed_8,v6_seed_8,v6_seed_8,0.0
case038.in,balanced,v6_seed_18,0.0,2474150.0,12491.0,0.121320,50,3,0,v6_seed_18,v6_seed_18,v6_seed_18,0.0
case039.in,balanced,v6_seed_18,0.0,3438250.0,12472.0,0.129571,50,3,0,v6_seed_18,v6_seed_18,v6_seed_18,0.0
case040.in,memory_dominated,v6_seed_20,559937.0,6090450.0,10995.0,0.183845,50,3,0,v6_seed_20,v6_seed_20,v6_seed_20,0.0
case041.in,balanced,v6_seed_2,0.0,2128770.0,12483.0,0.134030,50,3,0,v6_seed_2,v6_seed_2,v6_seed_2,0.0
case042.in,balanced,memory_r2_p3_b12,0.0,2770100.0,12512.0,0.110351,50,3,0,memory_r2_p3_b12,memory_r2_p3_b12,memory_r2_p3_b12,0.0
case043.in,balanced,combo_r2_p3_b12,487561.0,7068940.0,10962.0,0.202372,50,3,0,combo_r2_p3_b12,v6_seed_16,v6_seed_16,0.0
case044.in,balanced,v6_seed_47,0.0,2776710.0,12494.0,0.167998,50,3,0,v6_seed_47,v6_seed_47,v6_seed_47,0.0
case045.in,balanced,v6_seed_25,0.0,4547000.0,12517.0,0.228729,50,3,0,v6_seed_25,v6_seed_27,v6_seed_25,0.0
case046.in,memory_dominated,v5_heavy,933416.0,8803470.0,11416.0,0.299504,50,3,0,v5_heavy,v5_heavy,memory_first_light,0.0
case047.in,memory_dominated,v6_seed_2,0.0,2139800.0,12477.0,0.142730,50,3,0,v6_seed_2,v6_seed_2,v6_seed_2,0.0
case048.in,balanced,v6_seed_46,0.0,4132610.0,12389.0,0.153657,50,3,0,v6_seed_46,v6_seed_46,v6_seed_46,0.0
case049.in,balanced,fast_v1d_light,1016920.0,10770400.0,11554.0,0.322132,50,3,0,fast_v1d_light,v6_seed_42,v6_seed_42,0.0
case050.in,balanced,v6_seed_10,0.0,2331870.0,12414.0,0.168952,50,3,0,v6_seed_10,v6_seed_10,v6_seed_10,0.0
case051.in,balanced,memory_r2_p3_b12,0.0,3653330.0,12582.0,0.189017,50,3,0,memory_r2_p3_b12,memory_r2_p3_b12,memory_r2_p3_b12,0.0
case052.in,balanced,v6_seed_30,816117.0,7870180.0,11436.0,0.316721,50,3,0,v6_seed_30,v6_seed_30,v6_seed_30,0.0
case053.in,balanced,v6_seed_20,0.0,3217590.0,12472.0,0.220823,50,3,0,v6_seed_20,v6_seed_20,v6_seed_20,0.0
case054.in,balanced,v5_heavy,0.0,3167310.0,12635.0,0.202592,50,3,0,v5_heavy,v5_heavy,v5_heavy,0.0
case055.in,balanced,v6_seed_7,1476130.0,9835230.0,11637.0,0.498284,50,3,0,v6_seed_7,v6_seed_38,memory_first_light,0.0
case056.in,balanced,v5_heavy,0.0,3250730.0,12452.0,0.254863,50,3,0,v5_heavy,v5_heavy,v5_heavy,0.0
case057.in,balanced,memory_r2_p3_b12,0.0,5259490.0,12561.0,0.261826,50,3,0,memory_r2_p3_b12,memory_r2_p3_b12,memory_r2_p3_b12,0.0
case058.in,balanced,memory_first_light,726123.0,10886400.0,11226.0,0.352060,50,3,0,memory_first_light,memory_first_light,memory_first_light,0.0
case059.in,balanced,v6_seed_9,0.0,3477820.0,12512.0,0.292420,50,3,0,v6_seed_9,v6_seed_9,v6_seed_9,0.0
case060.in,balanced,v6_seed_35,0.0,4411370.0,12459.0,0.248608,50,3,0,v6_seed_35,v6_seed_35,v6_seed_35,0.0
case061.in,balanced,v6_seed_48,9368310.0,8395960.0,9845.0,2.624851,50,3,0,v6_seed_48,v6_seed_4,v6_seed_4,0.0
case062.in,memory_dominated,v5_heavy,1372940.0,22451600.0,17913.0,0.842640,50,3,0,v5_heavy,v5_heavy,v5_heavy,0.0
case063.in,memory_dominated,v5_heavy,42186.0,7251430.0,15640.0,0.366112,50,3,0,v5_heavy,v5_heavy,memory_first_light,0.0
case064.in,balanced,v6_seed_0,0.0,6539980.0,20472.0,0.331144,25,3,0,v6_seed_0,v6_seed_0,v6_seed_0,0.0
case065.in,balanced,v6_seed_25,13942800.0,10014000.0,10553.0,7.223495,50,3,0,v6_seed_25,v6_seed_25,v6_seed_25,0.0
case066.in,balanced,v6_seed_18,1506500.0,15244300.0,17722.0,0.750490,50,3,0,v6_seed_18,v6_seed_29,fast_v1d_light,0.0
case067.in,memory_dominated,fast_v1d_light,337198.0,20439000.0,15807.0,0.422038,25,3,0,fast_v1d_light,fast_v1d_light,fast_v1d_light,0.0
case068.in,balanced,v6_seed_4,0.0,6306620.0,20443.0,0.375434,25,3,0,v6_seed_4,v6_seed_4,v6_seed_4,0.0
case069.in,balanced,v6_seed_22,33781500.0,14473800.0,13463.0,13.361843,25,3,0,v6_seed_22,v6_seed_22,v6_seed_22,0.0
case070.in,balanced,v6_seed_4,6195330.0,28831900.0,19030.0,2.501682,25,3,0,v6_seed_4,v6_seed_4,v6_seed_4,0.0
case071.in,memory_dominated,v6_seed_9,791384.0,20538300.0,15904.0,0.548285,25,3,0,v6_seed_9,v6_seed_9,v6_seed_9,0.0
case072.in,balanced,v5_heavy,0.0,7937010.0,20501.0,0.530017,25,3,0,v5_heavy,v5_heavy,v5_heavy,0.0
case073.in,balanced,fast_v1d_light,73647700.0,20046100.0,15435.0,31.500052,25,3,0,fast_v1d_light,v6_seed_22,v6_seed_12,0.0
case074.in,memory_dominated,v5_heavy,6973600.0,27940100.0,18832.0,2.739240,25,3,0,v5_heavy,v5_heavy,v5_heavy,0.0
case075.in,memory_dominated,combo_r2_p3_b12,1065480.0,29144600.0,15929.0,0.854994,25,3,0,combo_r2_p3_b12,combo_r2_p3_b12,v6_seed_19,0.0
case076.in,large_dense,v6_seed_0,0.0,11918000.0,20525.0,0.648003,8,3,0,v6_seed_0,v6_seed_0,v6_seed_0,0.0
case077.in,balanced,v6_seed_2,120819000.0,23482600.0,19224.0,44.462664,4,1,0,v6_seed_2,v5_heavy,v6_seed_2,0.0
case078.in,large_dense,v5_heavy,11688600.0,41180200.0,18647.0,5.345489,8,3,0,v5_heavy,v5_heavy,v5_heavy,0.0
case079.in,large_dense,v5_heavy,1041880.0,32407300.0,16129.0,0.573100,8,3,0,v5_heavy,v5_heavy,v6_seed_0,0.0
case080.in,large_dense,v5_heavy,0.0,17449200.0,20534.0,0.636810,8,3,0,v5_heavy,v5_heavy,v5_heavy,0.0
case081.in,large_dense,v6_seed_0,155191000.0,35426300.0,21990.0,29.694628,8,3,0,v6_seed_0,v6_seed_0,v6_seed_0,0.0
case082.in,large_dense,v6_seed_1,11170000.0,37741600.0,19243.0,4.503984,8,3,0,v6_seed_1,v6_seed_1,v6_seed_1,0.0
case083.in,large_dense,v5_heavy,3459790.0,43494400.0,16295.0,1.423796,8,3,0,v5_heavy,v5_heavy,v5_heavy,0.0
case084.in,large_dense,v5_heavy,0.0,19946200.0,20430.0,0.697645,8,3,0,v5_heavy,v5_heavy,v5_heavy,0.0
case085.in,large_dense,v6_seed_5,171064000.0,32235700.0,21251.0,37.993197,8,3,0,v6_seed_5,v6_seed_5,v6_seed_5,0.0
case086.in,large_dense,v6_seed_0,16415300.0,54554800.0,18864.0,8.145432,8,3,0,v6_seed_0,v6_seed_5,v6_seed_5,0.0
case087.in,large_dense,v5_heavy,2474570.0,41076200.0,16008.0,1.088597,8,3,0,v5_heavy,v5_heavy,v5_heavy,0.0
case088.in,large_dense,v5_heavy,0.0,20021100.0,20489.0,0.761977,8,3,0,v5_heavy,v5_heavy,v5_heavy,0.0
case089.in,large_dense,v6_seed_1,233739000.0,35989400.0,22146.0,51.772783,6,3,0,v6_seed_1,v6_seed_1,v6_seed_1,0.0
case090.in,large_dense,v6_seed_6,20289400.0,53803300.0,19349.0,12.998745,8,3,0,v6_seed_6,v6_seed_6,v6_seed_6,0.0
case091.in,memory_dominated,fast_v1d_light,284814000.0,52770100.0,73774.0,11.244406,50,3,0,fast_v1d_light,v6_seed_26,fast_v1d_light,0.0
case092.in,memory_dominated,v6_seed_33,239276000.0,43736300.0,70605.0,6.776223,50,3,0,v6_seed_33,v6_seed_33,v6_seed_42,0.0
case093.in,memory_dominated,v6_seed_22,248697000.0,56408900.0,63709.0,10.859278,25,3,0,v6_seed_22,v6_seed_22,v6_seed_22,0.0
case094.in,memory_dominated,v6_seed_6,588240000.0,81417700.0,89170.0,28.116112,25,3,0,v6_seed_6,v6_seed_6,v6_seed_6,0.0
case095.in,memory_dominated,v5_heavy,1187620000.0,115186000.0,121771.0,43.787406,18,1,0,v5_heavy,v6_seed_8,v5_heavy,0.0
case096.in,memory_dominated,v6_seed_4,1410000000.0,113093000.0,147840.0,41.548841,25,1,0,v6_seed_4,v6_seed_4,v6_seed_4,0.0
case097.in,large_dense,v6_seed_2,950867000.0,122629000.0,94815.0,20.595829,8,3,0,v6_seed_2,safe_top2_combo,fast_v1d_light,0.0
case098.in,large_dense,v6_seed_6,1746430000.0,139477000.0,146197.0,26.477332,8,3,0,v6_seed_6,v6_seed_5,memory_r2_p3_b12,0.0
case099.in,large_dense,fast_v1c,2203470000.0,177977000.0,150882.0,42.585688,8,3,0,fast_v1c,v6_seed_2,fast_v1c,0.0
case100.in,large_dense,v6_seed_1,3038840000.0,193401000.0,191414.0,49.355086,8,3,0,v6_seed_1,v6_seed_4,v6_seed_1,0.0
